Mrittika Dol,Bhumi,Bunot,N,P,K,S,Z,B,Crop
Tarash,ml,3,0.13,38.7,0.3,6.82,0.79,0.58,Mugg
Tarash,ml,3,0.13,6.42,0.65,2.27,2.36,0.71,Kheshari
Binshara,l,3,0.16,6.67,0.34,12.55,2.69,1,Mugg
Binshara,l,3,0.13,24.36,0.21,7.44,2.46,0.45,Mugg
Tarash,l,3,0.09,42.73,0.37,16.06,1.46,0.19,Mugg
Tarash,l,3,0.14,5.23,0.38,10.21,1.41,0.55,Kheshari
Tarash,l,3,0.14,5.89,0.31,6.93,1.31,0.41,Kheshari
Tarash,l,3,0.14,5.8,0.41,12.39,1.33,0.53,Mugg
Tarash,l,3,0.08,4.38,0.38,15.83,1.01,0.45,Mugg
Tarash,l,3,0.12,6.28,0.28,12.59,1.02,0.49,Mugg
Tarash,l,3,0.8,24.1,0.3,23.03,0.72,0.41,Mugg
Tarash,l,3,0.11,26.92,0.33,18.83,0.84,0.38,Mugg
Tarash,l,3,0.12,13.77,0.38,25.44,1.77,0.28,Mugg
Tarash,l,3,0.08,26.29,0.28,12.74,0.68,0.38,Mugg
Tarash,l,3,0.14,4.97,0.37,15.18,1.09,0.46,Mugg
Tarash,l,3,0.11,3.86,0.36,14.92,1.03,0.19,Kheshari
Tarash,l,3,0.1,3.54,0.34,8.42,1.98,0.81,Kheshari
Tarash,l,3,0.11,3.07,0.34,29.22,1.32,0.76,Mugg
Tarash,l,3,0.11,13.09,0.39,16.17,1.66,1.01,Mugg
Tarash,l,3,0.15,7.78,0.28,11.59,0.72,0.62,Mugg
Tarash,l,3,0.13,4.41,0.38,11.44,1.26,0.32,Kheshari
Tarash,l,3,0.08,4.8,0.32,12.2,0.84,0.52,Kheshari
Tarash,l,3,0.11,3.46,0.32,15.98,1.11,0.44,Kheshari
Tarash,l,3,0.11,45.93,0.5,18.34,1.23,0.48,Mugg
Tarash,l,3,0.1,7.53,0.38,12.51,1.24,0.45,Mugg
Tarash,l,3,0.08,6.41,0.32,14.5,0.65,0.4,Mugg
Tarash,l,3,0.07,7.79,0.35,6.63,0.58,0.78,Kheshari
Jamun,h,1,0.07,25.81,0.17,5.39,0.74,0.13,Mugg
Jamun,mh,1,0.1,9.53,0.22,3.22,0.5,0.68,Kheshari
Amgaon,mh,1,0.12,6.92,0.19,11.25,0.42,0.64,Mugg
Jamun,mh,1,0.11,18.58,0.28,10.06,0.81,1.05,Mugg
Jamun,mh,1,0.11,13.37,0.16,5.2,0.73,0.75,Mugg
Jamun,mh,1,0.13,14.42,0.16,5.74,0.49,0.85,Mugg
Amgaon,mh,1,0.13,9.26,0.18,11.98,1.15,0.96,Mugg
Amgaon,mh,1,0.14,6.32,0.15,3.69,0.53,0.67,Kheshari
Amgaon,mh,1,0.14,7.48,0.18,2.91,0.54,0.51,Kheshari
Amgaon,mh,1,0.11,19.35,0.29,7.59,0.64,0.15,Mugg
Amgaon,mh,1,0.15,4.02,0.16,3.8,0.49,0.31,Kheshari
Amgaon,mh,1,0.1,24.07,0.22,4.58,0.34,0.29,Mugg
Amgaon,mh,1,0.12,4.33,0.19,5.47,1.17,0.5,Kheshari
Amgaon,mh,1,0.12,0.58,0.22,8.27,0.52,0.69,Kheshari
Matiya,ml,2,0.18,0.77,0.35,22.24,0.8,0.88,Mugg
Matiya,ml,2,0.13,8.76,0.19,7.17,0.59,0.69,Mugg
Matiya,ml,2,0.15,22.38,0.25,10.29,0.64,0.52,Mugg
Matiya,ml,2,0.18,1.29,0.26,15.03,2.21,0.64,Kheshari
Matiya,ml,2,0.12,1.7,0.26,16.78,0.67,0.12,Kheshari
Matiya,ml,2,0.11,9.37,0.32,11.05,0.65,0.45,Mugg
Matiya,ml,2,0.16,3.05,0.19,23.48,0.56,0.44,Mugg
Matiya,ml,2,0.1,4.8,0.25,13.16,0.62,0.68,Kheshari
Matiya,ml,2,0.12,4.92,0.25,11.21,0.93,0.6,Kheshari
Matiya,ml,2,0.09,6.96,0.28,8.62,0.8,0.7,Kheshari
Loshkora,ml,3,0.19,3.87,0.32,15.75,14.45,0.54,Mugg
Loshkora,ml,3,0.13,2.09,0.27,8.21,0.98,0.64,Kheshari
Matiya,l,2,0.18,11.09,0.37,12.7,1.54,0.85,Mugg
Loshkora,l,3,0.19,2.38,0.22,9.44,0.52,1.36,Kheshari
Loshkora,l,3,0.14,1.85,0.22,10.79,0.76,0.7,Kheshari
Gopalpur,mh,1,0.08,5.84,0.2,11.05,0.26,1.38,Kheshari
Gopalpur,ml,1,0.08,18.39,0.28,8.44,0.49,0.96,Mugg
Ishwardi,ml,2,0.11,19.22,0.46,15.92,1.45,2.07,Mugg
Gopalpur,ml,2,0.17,4.29,0.3,10.94,1.18,1.56,Kheshari
Gopalpur,ml,2,0.11,10.62,0.28,34.98,1.29,1.35,Mugg
Gopalpur,ml,2,0.1,16.94,0.34,18.08,1.57,0.9,Mugg
Ishwardi,ml,2,0.1,21.44,0.34,11.05,0.39,2.77,Mugg
Ishwardi,ml,2,0.08,6.51,0.38,25.77,0.53,2.85,Mugg
Ishwardi,ml,2,0.07,18.85,0.33,25.52,1.02,1.17,Mugg
Ishwardi,l,2,0.1,32.35,0.32,19.74,0.87,1.1,Mugg
Ramgoti,mh,1,0.087,3.9,0.25,16.7,0.31,0.33,Mugg
Ramgoti,mh,1,0.074,4.1,0.3,36.9,0.67,0.04,Mugg
Ramgoti,mh,1,0.084,2.3,0.3,29.3,0.73,0.05,Mugg
Ramgoti,mh,1,0.081,2.7,0.29,8.1,0.21,0.07,Kheshari
Ramgoti,mh,1,0.087,2.8,0.29,20.9,0.39,0.06,Mugg
Ramgoti,mh,1,0.101,2.2,0.27,31,0.57,0.04,Mugg
Ramgoti,mh,1,0.094,3.5,0.3,21.6,0.39,0.05,Mugg
Ramgoti,mh,1,0.054,2.9,0.23,8.9,0.15,0.08,Kheshari
Ramgoti,mh,1,0.087,3.7,0.23,9.5,0.2,0.07,Kheshari
Ramgoti,mh,1,0.091,3.9,0.17,5.9,0.21,0.04,Kheshari
Ramgoti,mh,1,0.054,5.2,0.23,7.8,0.15,0.06,Kheshari
Ramgoti,mh,1,0.128,7.8,0.3,7.8,0.35,0.08,Mugg
Ramgoti,mh,1,0.111,4.1,0.38,46.4,0.34,0.04,Mugg
Ramgoti,mh,1,0.071,3.9,0.1,17.1,0.2,0.05,Mugg
Ramgoti,mh,1,0.077,12.3,0.17,12.4,0.18,0.06,Mugg
Ramgoti,mh,1,0.007,6.2,0.25,6.2,0.29,0.04,Kheshari
Ramgoti,mh,1,0.084,3.7,0.32,16.1,0.26,0.05,Mugg
Ramgoti,mh,1,0.091,18.2,0.38,5.1,0.41,0.08,Mugg
Ramgoti,mh,1,0.064,4.3,0.17,10.8,0.14,0.06,Kheshari
Jhalkati,mh,2,0.074,2.9,0.22,11.5,0.28,0.09,Kheshari
Jhalkati,mh,2,0.087,7.2,0.21,22.4,1.52,0.05,Mugg
Jhalkati,mh,2,0.175,8.1,0.29,20.8,0.3,0.06,Mugg
Jhalkati,mh,2,0.09,3.5,0.24,13.8,0.21,0.04,Kheshari
Jhalkati,mh,2,0.108,4.1,0.13,9.2,0.19,0.07,Kheshari
Jhalkati,mh,2,0.108,4.2,0.29,22.1,0.26,0.08,Mugg
Jhalkati,mh,2,0.117,2.7,0.25,5.8,0.18,0.05,Kheshari
Jhalkati,mh,2,0.081,2.5,0.24,8.4,0.17,0.09,Kheshari
Jhalkati,mh,2,0.058,6.1,0.24,19.3,0.15,0.04,Mugg
Jhalkati,mh,2,0.099,3.8,0.17,13.8,0.16,0.06,Kheshari
Jhalkati,mh,2,0.103,3.5,0.26,6.3,0.19,0.08,Kheshari
Jhalkati,mh,2,0.103,5.1,0.23,6.8,0.18,0.07,Kheshari
Jhalkati,mh,2,0.121,2.4,0.4,12.3,0.19,0.09,Kheshari
Jhalkati,mh,2,0.099,2.3,0.21,12.2,0.18,0.04,Kheshari
Jhalkati,mh,2,0.139,4.1,0.22,5.8,0.22,0.08,Kheshari
Jhalkati,mh,2,0.103,4.2,0.25,4.7,0.19,0.05,Kheshari
Jhalkati,mh,2,0.081,6.1,0.37,24,0.19,0.17,Mugg
Jhalkati,mh,2,0.067,7.8,0.16,8.9,0.17,0.09,Mugg
Jhalkati,mh,2,0.183,6.2,0.33,5.6,0.14,0.08,Kheshari
Jhalkati,mh,2,0.09,2.5,0.17,3.4,0.2,0.06,Kheshari
Jhalkati,mh,2,0.085,2.3,0.21,11.3,0.24,0.04,Kheshari
Jhalkati,mh,2,0.054,6.1,0.24,12.2,0.16,0.08,Mugg
Jhalkati,mh,2,0.098,4.2,0.26,8.7,0.16,0.3,Kheshari
Jhalkati,mh,2,0.081,3.6,0.21,7.5,0.2,0.55,Kheshari
Jhalkati,mh,2,0.103,3.5,0.24,10.5,0.18,0.38,Kheshari
Jhalkati,mh,2,0.085,3.7,0.11,6.4,0.2,1.1,Kheshari
Jhalkati,mh,2,0.083,5.2,0.21,78,0.22,0.11,Rosun
Jhalkati,mh,2,0.083,4.9,0.19,25.5,0.35,0.05,Mugg
Jhalkati,mh,2,0.083,3.7,0.23,17.1,0.26,0.12,Mugg
Jhalkati,mh,2,0.083,4.9,0.16,5.3,0.45,0.05,Kheshari
Jhalkati,mh,2,0.072,4.1,0.16,19,0.3,0.34,Mugg
Jhalkati,mh,2,0.066,4.5,0.11,8,0.09,0.14,Kheshari
Jhalkati,mh,2,0.077,8.2,0.14,6.8,0.16,0.33,Kheshari
Jhalkati,mh,2,0.077,3.9,0.17,2.9,0.19,0.23,Kheshari
Jhalkati,mh,2,0.061,2.9,0.3,7.8,0.36,0.06,Kheshari
Jhalkati,mh,2,0.088,2.7,0.26,16,0.38,0.05,Kheshari
Jhalkati,mh,2,0.044,4.1,0.28,5.7,0.11,0.05,Kheshari
Jhalkati,mh,2,0.088,16.3,0.19,25.8,1.03,0.71,Mugg
Jhalkati,mh,2,0.066,3.1,0.28,13.9,0.74,0.28,Kheshari
Jhalkati,mh,2,0.077,3.2,0.28,27.2,0.45,0.06,Mugg
Jhalkati,mh,2,0.072,3.7,0.22,40.9,0.61,0.05,Mugg
Jhalkati,mh,2,0.069,3.9,0.25,69.9,0.81,0.07,Rosun
Jhalkati,mh,2,0.069,4.1,0.36,83.3,1.51,0.05,Rosun
Jhalkati,mh,2,0.017,3.7,0.15,6.9,0.08,0.06,Kheshari
Jhalkati,mh,2,0.04,3.2,0.19,13.8,0.34,0.04,Kheshari
Jhalkati,mh,2,0.046,3.3,0.23,13.3,0.25,0.05,Kheshari
Jhalkati,mh,2,0.029,4.1,0.15,33.5,0.45,0.36,Mugg
Jhalkati,mh,2,0.063,3.9,0.22,47.1,0.26,0.03,Mugg
Jhalkati,mh,2,0.063,4.2,0.29,17.2,0.19,0.07,Mugg
Jhalkati,mh,2,0.04,3.6,0.19,67,0.33,0.02,Rosun
Jhalkati,mh,2,0.075,3.8,0.32,6,0.35,0.06,Kheshari
Jhalkati,mh,2,0.069,3.7,0.3,6.6,0.35,0.11,Kheshari
Jhalkati,mh,2,0.069,3.3,0.14,43.2,0.4,0.04,Mugg
Jhalkati,mh,2,0.046,3.9,0.23,4.1,0.17,0.02,Kheshari
Jhalkati,mh,2,0.057,4.1,0.21,4.8,0.27,0.03,Kheshari
Jhalkati,mh,2,0.04,4.5,0.18,2.8,0.19,0.05,Kheshari
Jhalkati,mh,2,0.046,5.1,0.26,4.4,0.29,0.67,Kheshari
Jhalkati,mh,2,0.057,6.2,0.33,5.9,0.92,0.31,Kheshari
Jhalkati,mh,2,0.069,4.5,0.27,13.9,0.79,0.72,Kheshari
Jhalkati,mh,2,0.069,3.2,0.24,12.2,0.33,0.42,Kheshari
Jhalkati,mh,2,0.075,4.9,0.38,28.6,0.74,0.17,Mugg
Jhalkati,mh,2,0.046,4.1,0.35,8.3,0.83,0.45,Kheshari
Jhalkati,mh,2,0.086,4.7,0.32,31.8,0.84,0.31,Mugg
Jhalkati,mh,2,0.169,7.1,0.39,7.1,0.37,0.28,Kheshari
Jhalkati,mh,2,0.093,15.2,0.62,14.8,0.81,1.06,Mugg
Jhalkati,mh,2,0.082,5.2,0.26,4.9,0.44,0.42,Kheshari
Jhalkati,mh,2,0.077,3.9,0.25,2.5,0.31,0.05,Kheshari
Barisal,mh,3,0.061,2.7,0.16,9.1,0.37,0.05,Kheshari
Barisal,mh,3,0.066,2.5,0.18,9.7,0.32,0.05,Kheshari
Barisal,mh,3,0.094,4.1,0.17,10.4,0.66,0.06,Kheshari
Barisal,mh,3,0.061,3.9,0.22,10.9,0.24,0.05,Kheshari
Barisal,mh,3,0.099,4.1,0.32,4,0.3,0.11,Kheshari
Barisal,mh,3,0.105,3.2,0.34,11.6,0.7,0.06,Kheshari
Barisal,mh,3,0.094,3.7,0.22,44.4,0.88,0.05,Mugg
Barisal,mh,3,0.083,15.3,0.28,16.5,0.51,0.05,Mugg
Jhalkati,mh,3,0.071,4.5,0.23,9.4,0.85,0.69,Kheshari
Jhalkati,mh,2,0.082,3.9,0.2,3.3,0.22,0.25,Kheshari
Jhalkati,mh,2,0.098,5.3,0.15,6.8,0.85,1.03,Kheshari
Jhalkati,mh,2,0.077,5.2,0.19,12.7,0.82,0.49,Kheshari
Jhalkati,mh,2,0.082,4.8,0.15,27.3,0.45,0.4,Mugg
Jhalkati,mh,2,0.082,5.1,0.17,11.3,0.73,0.04,Kheshari
Jhalkati,mh,2,0.06,3.9,0.15,21,1.16,0.54,Mugg
Jhalkati,mh,2,0.071,3.7,0.13,5.9,0.51,0.27,Kheshari
Jhalkati,mh,2,0.082,5.6,0.11,4,0.33,0.23,Kheshari
Jhalkati,mh,2,0.045,5.2,0.14,4.6,0.053,0.31,Kheshari
Jhalkati,mh,2,0.039,4.1,0.25,8.8,0.82,0.33,Kheshari
Jhalkati,mh,2,0.129,4.2,0.26,5.4,0.51,1.04,Kheshari
Jhalkati,mh,2,0.056,4.9,0.32,6.4,0.052,0.55,Kheshari
Barisal,mh,3,0.066,4.5,0.21,2.8,0.28,0.49,Kheshari
Barisal,mh,3,0.06,3.7,0.21,3.9,0.051,0.3,Kheshari
Barisal,mh,3,0.082,5.9,0.27,15.5,1.31,0.39,Mugg
Barisal,mh,3,0.098,3.8,0.25,19.3,1.15,0.053,Mugg
Barisal,mh,3,0.071,8.5,0.27,4.4,0.22,0.06,Kheshari
Barisal,mh,3,0.098,12.3,0.54,8.6,0.76,0.56,Mugg
Barisal,mh,3,0.087,5.2,0.27,11.8,0.61,0.4,Kheshari
Barisal,mh,3,0.087,3.1,0.19,28.2,1,0.21,Mugg
Barisal,mh,3,0.082,3.2,0.16,5,0.29,0.56,Kheshari
Barisal,mh,3,0.104,4.1,0.28,7.1,1.02,0.45,Kheshari
Barisal,mh,3,0.071,3.9,0.31,2.8,0.22,0.55,Kheshari
Barisal,mh,3,0.115,3.7,0.2,15.2,0.78,0.44,Kheshari
Barisal,mh,3,0.087,4.2,0.2,5.6,1.38,0.62,Kheshari
Ramgoti,mh,3,0.05,3.9,0.19,3.8,0.34,0.25,Kheshari
Ramgoti,mh,3,0.056,3.7,0.28,7.4,0.52,0.49,Kheshari
Ramgoti,mh,3,0.045,10.2,0.18,4,0.4,0.56,Mugg
Ramgoti,mh,3,0.084,3.9,0.25,3.8,0.6,0.83,Kheshari
Katal Polimati,mh,1,0.095,3.8,0.21,15.4,1.1,0.43,Kheshari
Katal Polimati,mh,1,0.078,5.1,0.27,11.7,1.13,1.27,Kheshari
Katal Polimati,mh,1,0.078,5.2,0.24,4.2,0.17,0.34,Kheshari
Katal Polimati,mh,1,0.101,5.4,0.32,6.9,0.29,0.31,Kheshari
Katal Polimati,mh,1,0.039,5.6,0.17,4.3,0.29,0.41,Kheshari
Katal Polimati,mh,1,0.078,16.3,0.6,9.2,3.75,0.87,Mugg
Katal Polimati,mh,1,0.095,3.9,0.15,5.5,0.057,0.31,Kheshari
Katal Polimati,mh,1,0.101,12.2,0.16,8.4,0.38,0.23,Mugg
Katal Polimati,mh,1,0.095,4.9,0.18,3.6,0.4,0.33,Kheshari
Katal Polimati,mh,1,0.9,5.7,0.22,3.8,0.34,0.17,Kheshari
Ramgoti,mh,1,0.078,18.43,0.2,14.75,0.17,0.27,Mugg
Ramgoti,mh,1,0.073,13.62,0.13,14.2,0.07,0.11,Mugg
Ramgoti,mh,1,0.078,11.5,0.17,17.43,0.09,0.13,Mugg
Ramgoti,mh,1,0.067,14.42,0.14,11.2,0.06,0.12,Mugg
Ramgoti,mh,1,0.09,10.88,0.13,11.03,0.13,0.13,Mugg
Ramgoti,mh,1,0.112,5.25,0.19,22.69,0.19,0.21,Mugg
Ramgoti,mh,1,0.095,8.29,0.13,12.45,0.08,0.09,Mugg
Ramgoti,mh,1,0.095,5.28,0.19,19.9,0.18,0.12,Mugg
Ramgoti,mh,1,0.157,8.32,0.17,17.42,0.14,0.77,Mugg
Ramgoti,mh,1,0.09,5.5,0.23,21.59,0.2,0.66,Mugg
Nilkomol,mh,2,0.067,3.7,0.25,4.3,0.18,0.17,Kheshari
Nilkomol,mh,2,0.078,3.9,0.27,4.7,0.2,0.13,Kheshari
Nilkomol,mh,2,0.162,4.2,0.24,9.4,0.13,0.15,Kheshari
Nilkomol,mh,2,0.078,15.17,0.11,17.12,0.09,0.08,Mugg
Nilkomol,mh,2,0.056,10.57,0.1,23.38,0.08,0.07,Mugg
Nilkomol,mh,2,0.084,12.85,0.18,10.5,0.14,0.27,Mugg
Nilkomol,mh,2,0.14,12.92,0.17,11.23,0.16,0.32,Mugg
Nilkomol,mh,2,0.067,17.98,0.15,13.46,0.12,0.18,Mugg
Nilkomol,mh,2,0.056,17.3,0.17,11.88,0.09,0.06,Mugg
Nilkomol,mh,2,0.106,11.55,0.12,13.41,0.07,0.01,Mugg
Nilkomol,mh,2,0.112,4.29,0.13,12.47,0.22,0.13,Kheshari
Nilkomol,mh,2,0.101,4.09,0.13,9.23,0.18,0.05,Kheshari
Nilkomol,mh,2,0.101,6.24,0.12,9.18,0.18,0.18,Kheshari
Ramgoti,mh,1,0.095,7.25,0.11,12.72,0.11,0.16,Mugg
Ramgoti,mh,1,0.073,12.32,0.1,13.99,0.15,0.04,Mugg
Ramgoti,mh,1,0.101,10.25,0.09,10.82,0.14,0.32,Mugg
Ramgoti,mh,1,0.084,12.2,0.1,12.03,0.34,0.03,Mugg
Ramgoti,mh,1,0.078,15.11,0.1,10.19,0.12,0.04,Mugg
Ramgoti,mh,1,0.106,12.41,0.09,7.39,0.09,0.06,Mugg
Ramgoti,mh,1,0.095,12.54,0.08,8.19,0.16,0.05,Mugg
Ramgoti,mh,1,0.028,6.32,0.17,13.15,0.16,0.07,Mugg
Ramgoti,mh,1,0.122,11.72,0.2,12.22,0.09,0.35,Mugg
Ramgoti,mh,1,0.078,14.26,0.1,13.59,0.08,0.05,Mugg
Ramgoti,mh,1,0.078,10.52,0.13,10.56,0.11,0.06,Mugg
Ramgoti,mh,1,0.183,5.2,0.16,15.82,0.19,0.15,Mugg
Ramgoti,mh,1,0.128,8.29,0.16,9.3,0.62,0.07,Mugg
Meghnar Polimati,ml,1,0.106,11.75,0.14,8.38,0.52,0.05,Mugg
Meghnar Polimati,ml,1,0.106,12.08,0.07,11.64,0.34,0.04,Mugg
Meghnar Polimati,ml,1,0.083,12.31,0.15,9.93,0.18,0.02,Mugg
Meghnar Polimati,ml,1,0.106,19.91,0.15,8.49,0.15,0.04,Mugg
Meghnar Polimati,ml,1,0.089,10.93,0.21,7.7,0.14,0.05,Mugg
Meghnar Polimati,ml,1,0.072,10.03,0.12,13.9,0.07,0.06,Mugg
Meghnar Polimati,ml,1,0.05,11.91,0.11,5.03,0.06,0.09,Mugg
Meghnar Polimati,ml,1,0.006,17.62,0.2,11.78,0.08,0.09,Mugg
Meghnar Polimati,ml,1,0.067,14.02,0.16,10.1,0.07,0.06,Mugg
Meghnar Polimati,ml,1,0.078,17.8,0.19,7.07,0.1,0.06,Mugg
Meghnar Polimati,ml,1,0.067,12.96,0.27,8.02,0.23,0.05,Mugg
Meghnar Polimati,ml,1,0.089,11.49,0.14,12.87,0.09,0.13,Mugg
Meghnar Polimati,ml,1,0.056,19.55,0.28,6.29,0.22,0.06,Mugg
kula ura,h,2,0.04,4.9,0.17,12.17,1.1,0.35,Kheshari
kula ura,h,2,0.09,4.1,0.16,9.64,0.48,0.42,Kheshari
kula ura,h,2,0.026,3.2,0.06,11.78,0.51,0.17,Kheshari
boro lekha,h,4,0.05,6.5,0.08,11.71,0.39,0.24,Mugg
boro lekha,h,4,0.047,5.6,0.1,8.58,0.39,0.37,Kheshari
ghoshgao,h,2,0.031,5.4,0.12,30.07,0.8,0.37,Mugg
pritimpasha,mh,2,0.03,2.2,0.04,23.12,0.52,0.28,Mugg
gojni,h,4,0.073,7.5,0.12,20.58,0.58,0.31,Mugg
srimongol,h,2,0.085,5.6,0.15,14.1,0.75,0.48,Mugg
srimongol,h,2,0.59,5.7,0.14,8.69,0.71,0.37,Kheshari
srimongol,h,2,0.116,6.2,0.23,14.99,0.71,0.35,Mugg
srimongol,h,2,0.083,4.1,0.22,10.7,0.35,0.58,Kheshari
srimongol,h,2,0.073,7.2,0.15,11.2,0.55,0.13,Mugg
srimongol,h,2,0.1,10.2,0.2,14.18,1.13,0.8,Mugg
gojni,h,4,0.098,5,0.22,13.68,0.72,0.54,Mugg
gojni,h,4,0.068,5.6,0.15,9.81,0.68,0.57,Kheshari
gojni,h,4,0.087,3.2,0.15,18.61,0.45,0.62,Mugg
gojni,h,4,0.114,6.5,0.15,12.97,1.02,1.08,Mugg
gojni,h,4,0.062,6.3,0.08,14.18,0.62,0.25,Mugg
rotna,h,4,0.045,4.2,0.08,9.54,0.63,0.24,Kheshari
rotna,h,4,0.099,13.9,0.06,10.36,0.62,1.89,Mugg
pratimpasha,mh,2,0.094,13.1,0.19,30.45,2.14,0.27,Mugg
srimongol,h,2,0.075,3.9,0.17,37.36,1.48,0.38,Mugg
srimongol,h,2,0.069,3.5,0.15,15.6,0.52,0.08,Kheshari
gojni,h,4,0.098,10.1,0.04,14.97,0.96,0.56,Mugg
gojni,h,4,0.069,7.1,0.06,10.97,0.81,0.56,Mugg
gojni,h,4,0.028,4.2,0.06,36.9,0.92,0.7,Mugg
rotna,h,4,0.082,9.3,0.11,12.79,0.8,0.43,Mugg
rotna,h,4,0.089,11,0.08,13.44,0.82,0.09,Mugg
pratimpasha,mh,2,0.084,5.6,0.07,17.46,0.94,0.12,Mugg
pratimpasha,mh,2,0.119,7.7,0.1,6.26,0.96,0.79,Kheshari
pratimpasha,mh,2,0.087,5.9,0.12,7.73,0.77,0.47,Kheshari
monu,mh,1,0.049,9.2,0.06,25.44,0.68,0.97,Mugg
marisi,h,4,0.088,7.4,0.09,17.88,2.33,0.4,Mugg
bhugai,h,2,0.089,11.8,0.1,5.95,0.85,0.6,Mugg
jhinaigati ,h,2,0.078,8.2,0.11,21.2,1.52,0.3,Mugg
marisi,h,4,0.048,8,0.06,14.25,1.68,0.57,Mugg
ramnogor,h,3,0.059,4.2,0.1,41.33,1.57,0.45,Mugg
ramnogor,h,3,0.057,3.5,0.13,68.32,2.21,0.46,Rosun
jhinaigati ,h,2,0.059,7.6,0.07,21.39,1.86,0.44,Mugg
jhinaigati ,h,2,0.063,8.4,0.08,9.85,2.26,0.48,Mugg
jhinaigati ,h,2,0.07,2.6,0.08,18.03,1.98,0.43,Kheshari
jhinaigati ,h,2,0.071,3.4,0.09,8.42,1.18,0.44,Kheshari
jhinaigati ,h,2,0.096,4.5,0.1,5.03,1.79,0.73,Kheshari
jhinaigati ,h,2,0.077,11.1,0.06,9.5,1.6,0.57,Mugg
jhinaigati ,h,2,0.076,4.3,0.07,7.8,1.51,0.47,Kheshari
pritimpasha,mh,2,0.061,5.4,0.05,10.08,0.88,0.8,Kheshari
nunni,h,1,0.051,20.8,0.08,13.87,0.44,0.5,Mugg
nunni,h,1,0.062,12.4,0.05,14.18,0.8,0.62,Mugg
nunni,h,1,0.059,20.4,0.07,8.34,1.01,0.35,Mugg
nunni,h,1,0.074,21,0.09,5.06,0.83,0.25,Mugg
nunni,h,1,0.083,6,0.11,9.43,1.1,0.5,Kheshari
jhinaigati ,h,2,0.123,7.1,0.15,29.88,3.32,0.84,Mugg
pritimpasha,h,2,0.117,7.9,0.09,6.25,0.58,0.44,Kheshari
pritimpasha,h,2,0.133,9.1,0.09,19.61,0.95,0.7,Mugg
pritimpasha,h,2,0.089,5.4,0.16,75.43,1.76,0.85,Rosun
pritimpasha,h,2,0.124,8,0.15,47.31,2.51,0.37,Mugg
pritimpasha,h,2,0.102,9.6,0.1,9.25,1.62,0.82,Mugg
pritimpasha,h,2,0.085,4.9,0.1,32.19,2.26,0.78,Mugg
pritimpasha,h,2,0.059,1.5,0.07,22.31,1.7,0.8,Mugg
pritimpasha,h,2,0.049,7.8,0.06,14.21,0.44,0.72,Mugg
pritimpasha,h,2,0.57,9.9,0.09,15.8,0.64,0.7,Mugg
pritimpasha,mh,2,0.08,15.3,0.07,19.96,0.8,0.69,Mugg
pritimpasha,h,2,0.062,14.1,0.05,12.36,0.54,1.2,Mugg
pritimpasha,mh,2,0.067,10.8,0.05,18.3,0.66,0.68,Mugg
pritimpasha,mh,2,0.086,10.3,0.06,19.2,1.22,0.45,Mugg
pritimpasha,mh,2,0.08,2.9,0.12,17.99,0.44,0.38,Mugg
pritimpasha,mh,2,0.116,5,0.1,33.15,2.22,1.09,Mugg
pritimpasha,mh,2,0.71,4.4,0.06,24.05,1.3,0.83,Mugg
pritimpasha,mh,2,0.08,3.5,0.07,53.02,1.32,0.82,Mugg
pritimpasha,mh,2,0.095,5.5,0.08,19.15,1.48,0.69,Mugg
pritimpasha,mh,2,0.109,2.1,0.09,27.29,1.3,0.48,Mugg
pritimpasha,mh,2,0.064,1.9,0.1,66.68,1.6,1.26,Rosun
pritimpasha,mh,2,0.105,2.5,0.09,40.45,1.63,1.2,Mugg
pritimpasha,mh,2,0.078,2.9,0.06,13.25,0.68,0.56,Kheshari
pritimpasha,mh,2,0.095,5.2,0.07,19.15,0.66,2.21,Mugg
monu,mh,2,0.151,10.4,0.08,21.04,0.54,0.94,Mugg
monu,mh,2,0.109,2.3,0.24,80.11,3.74,0.29,Rosun
monu,mh,2,0.087,2.1,0.15,67.53,1.32,0.97,Rosun
monu,mh,2,0.114,3.5,0.11,66.9,1.54,0.88,Rosun
monu,mh,2,0.121,2.8,0.15,88.36,3.2,0.57,Rosun
monu,mh,2,0.11,3.3,0.17,81.76,1.7,0.6,Rosun
monu,mh,2,0.072,2.5,0.07,17.53,0.7,0.38,Kheshari
monu,mh,2,0.086,6.8,0.09,25.67,1.58,0.45,Mugg
monu,mh,2,0.102,7.9,0.06,22.28,1.62,0.37,Mugg
monu,mh,2,0.089,7.6,0.07,19.54,1.18,0.3,Mugg
monu,mh,2,0.041,4.8,0.05,15.94,0.59,0.1,Mugg
monu,mh,2,0.11,5.5,0.09,19,2.38,0.28,Mugg
monu,mh,2,0.132,2.9,0.12,42.61,2.6,0.44,Mugg
monu,mh,2,0.097,3.9,0.11,58,1.74,0.21,Mugg
pritimpasha,mh,2,0.106,5.7,0.18,60.01,2.86,0.22,Rosun
pritimpasha,mh,2,0.097,7.8,0.07,9.05,1.41,0.19,Mugg
nalitabari,mh,2,0.115,5,0.13,10.59,1.74,0.2,Kheshari
nalitabari,mh,2,0.12,4.8,0.12,61.7,1.02,0.19,Rosun
nalitabari,mh,2,0.107,17.4,0.11,65.78,2.38,0.18,Rosun
nalitabari,mh,2,0.059,5.8,0.05,11.55,1.32,0.29,Kheshari
nalitabari,mh,2,0.11,8,0.11,30.3,2.91,0.11,Mugg
