Mrittika Dol,Bhumi,Bunot,N,P,K,S,Z,B,Crop
Dumuria,mh,3,0.169,15.97,0.62,313.04,0.62,0.98,Rosun
Dumuria,mh,3,0.165,9.01,0.59,92.45,0.43,0.78,Rosun
Dumuria,mh,3,0.182,11.13,1.18,240.58,2.27,1.83,Rosun
Dumuria,mh,3,0.089,8.16,1.24,186.98,1.6,3.11,Rosun
Dumuria,mh,3,0.117,11.29,1.16,118.98,1.25,2.82,Rosun
Dumuria,mh,3,0.127,9.93,1.01,353.11,0.68,2.12,Rosun
Dumuria,mh,3,0.113,10.69,1.09,330.59,0.58,2.3,Rosun
Dumuria,mh,3,0.124,9.9,0.86,165.73,0.64,2.04,Rosun
Dumuria,mh,3,0.113,8,0.91,93.56,0.47,1.66,Rosun
Dumuria,mh,3,0.141,7.81,1,187.63,0.66,1.92,Rosun
Dumuria,mh,3,0.162,12.46,0.74,282.34,0.45,1.45,Rosun
Barisal,mh,3,0.151,10.31,0.72,263.56,0.47,1.2,Rosun
Barisal,mh,3,0.179,4.3,0.65,269.77,1.14,1.68,Rosun
Barisal,mh,3,0.172,5.96,0.85,193.19,1.08,1.51,Rosun
Barisal,mh,3,0.162,8.08,1.26,450.97,1.53,3.1,Rosun
Barisal,mh,3,0.093,4.08,0.9,218012,1.13,1.73,Rosun
Barisal,mh,3,0.12,2.4,0.73,413.08,1.54,0.98,Rosun
Barisal,mh,3,0.117,2.25,0.75,245.59,1.55,1.89,Rosun
Barisal,mh,3,0.086,2.72,0.68,98.41,1.05,1.32,Rosun
Barisal,mh,3,0.117,1.94,0.67,122.17,1.44,1.57,Rosun
Barisal,mh,3,0.11,6.75,0.82,117.72,1.29,1.51,Rosun
Barisal,mh,3,0.117,2.29,1.02,437.69,1.35,1.84,Rosun
Barisal,mh,3,0.083,3.58,1.12,151.45,1.07,2.25,Rosun
Barisal,mh,3,0.113,2.06,0.88,142.46,0.87,10.9,Rosun
Barisal,mh,3,0.155,1.94,0.91,123.84,0.85,9.78,Rosun
Barisal,mh,3,0.12,6.46,0.86,230.62,1.29,9.11,Rosun
Barisal,mh,3,0.131,9.88,0.71,260.29,2.25,13.38,Rosun
Barisal,mh,3,0.141,14.41,0.7,436.12,1.39,12.86,Rosun
Barisal,mh,3,0.1,7.8,0.81,106.05,1.32,7.66,Rosun
Barisal,mh,3,0.065,6.73,1.3,108.36,0.69,10.22,Rosun
Jhalkathi,mh,3,0.12,5.22,0.71,57.58,0.57,13.84,Mugg
Jhalkathi,mh,3,0.179,4.41,0.68,41.16,0.79,10.26,Mugg
Jhalkathi,mh,3,0.086,4,0.7,52.62,0.63,11.6,Mugg
Jhalkathi,mh,3,0.127,4.65,0.68,71.93,0.59,10.44,Rosun
Barisal,mh,3,0.103,6.58,0.91,196.19,0.82,13.48,Rosun
Barisal,mh,3,0.113,6.56,1.12,315.25,0.69,0.96,Rosun
Barisal,mh,3,0.124,5.9,0.86,145.7,0.98,0.66,Rosun
Barisal,mh,3,0.141,5.96,0.74,223.6,1.25,1.01,Rosun
Barisal,mh,3,0.11,9.36,1.13,398.94,0.85,1.46,Rosun
Barisal,mh,3,0.127,4.68,1.28,92.15,1.62,2.16,Rosun
Komolakati,mh,3,0.113,5.22,0.72,247.62,1.2,1.27,Rosun
Bajowa,mh,2,0.113,17.39,0.66,298.65,1.3,1.12,Rosun
Dumuria,mh,3,0.093,6.58,0.8,124.65,0.62,1.02,Rosun
Chandina,mh,1,0.097,4.71,0.18,48.3,0.35,0.76,Mugg
